13075;Vorpommern-Greifswald, Landkreis;-;4;12;2;6;7
13076;Ludwigslust-Parchim, Landkreis;-;3;1;2;-;7
14161;Chemnitz, Stadt;-;-;-;-;-;-
14166;Plauen, Stadt;-;-;-;-;-;-
14167;Zwickau, Stadt;-;-;-;-;-;-
14171;Annaberg, Landkreis;-;-;-;-;-;-
14173;Chemnitzer Land, Landkreis;-;-;-;-;-;-
14177;Freiberg, Landkreis;-;-;-;-;-;-
14178;Vogtlandkreis;-;-;-;-;-;-
14181;Mittlerer Erzgebirgskreis;-;-;-;-;-;-
14182;Mittweida, Landkreis;-;-;-;-;-;-
14188;Stollberg, Landkreis;-;-;-;-;-;-
14191;Aue-Schwarzenberg, Landkreis;-;-;-;-;-;-
14193;Zwickauer Land, Landkreis;-;-;-;-;-;-
14262;Dresden, Stadt;-;-;-;-;-;-
14263;G�rlitz, Stadt;-;-;-;-;-;-
14264;Hoyerswerda, Stadt;-;-;-;-;-;-
14272;Bautzen, Landkreis;-;-;-;-;-;-
14280;Mei�en, Landkreis;-;-;-;-;-;-
14284;Niederschlesischer Oberlausitzkreis;-;-;-;-;-;-
14285;Riesa-Gro�enhain, Landkreis;-;-;-;-;-;-
14286;L�bau-Zittau, Landkreis;-;-;-;-;-;-
14287;S�chsische Schweiz, Landkreis;-;-;-;-;-;-
14290;Wei�eritzkreis;-;-;-;-;-;-
14292;Kamenz, Landkreis;-;-;-;-;-;-
14365;Leipzig, Stadt;-;-;-;-;-;-
14374;Delitzsch, Landkreis;-;-;-;-;-;-
14375;D�beln, Landkreis;-;-;-;-;-;-
14379;Leipziger Land, Landkreis;-;-;-;-;-;-
14383;Muldentalkreis;-;-;-;-;-;-
14389;Torgau-Oschatz, Landkreis;-;-;-;-;-;-
14511;Chemnitz, Stadt;11;14;9;11;19;35
14521;Erzgebirgskreis;9;12;12;10;11;12
14522;Mittelsachsen, Landkreis;7;12;6;3;11;8
14523;Vogtlandkreis;13;14;15;13;12;9
14524;Zwickau, Landkreis;14;11;12;7;11;10
14612;Dresden, Stadt;29;19;29;21;52;37
14625;Bautzen, Landkreis;9;6;7;9;7;2
14626;G�rlitz, Landkreis;6;5;13;12;5;4
14627;Mei�en, Landkreis;5;5;8;3;6;7
14628;S�chsische Schweiz-Osterzgebirge, Landkreis;3;6;2;7;6;7
14713;Leipzig, Stadt;23;30;18;25;32;45
14729;Leipzig, Landkreis;5;3;7;2;3;3
14730;Nordsachsen, Landkreis;7;3;5;2;5;1
15001;Dessau-Ro�lau, Stadt;2;2;1;2;-;-
15002;Halle (Saale), Stadt;5;9;5;9;5;9
15003;Magdeburg, Landeshauptstadt;8;10;14;15;5;11
15081;Altmarkkreis Salzwedel;-;2;2;1;1;-
15082;Anhalt-Bitterfeld;3;10;6;2;2;3
15083;B�rde;3;4;3;1;-;2
15084;Burgenlandkreis;2;7;3;7;4;3
15085;Harz;4;2;1;3;-;6
15086;Jerichower Land;1;-;2;-;1;-
15087;Mansfeld-S�dharz;2;3;1;2;2;5
15088;Saalekreis;1;1;3;1;2;2
15089;Salzlandkreis;3;4;9;4;5;2
15090;Stendal;-;4;2;4;1;-
15091;Wittenberg;2;1;2;2;2;2
15101;Dessau, Stadt;-;-;-;-;-;-
15151;Anhalt-Zerbst, Landkreis;-;-;-;-;-;-
15153;Bernburg, Landkreis;-;-;-;-;-;-
15154;Bitterfeld, Landkreis;-;-;-;-;-;-
15159;K�then, Landkreis;-;-;-;-;-;-
15171;Wittenberg, Landkreis;-;-;-;-;-;-
15202;Halle (Saale), Stadt;-;-;-;-;-;-
15256;Burgenlandkreis;-;-;-;-;-;-
15260;Mansfelder Land, Landkreis;-;-;-;-;-;-
15261;Merseburg-Querfurt, Landkreis;-;-;-;-;-;-
15265;Saalkreis;-;-;-;-;-;-
15266;Sangerhausen, Landkreis;-;-;-;-;-;-
15268;Wei�enfels, Landkreis;-;-;-;-;-;-
15303;Magdeburg, Landeshauptstadt;-;-;-;-;-;-
15352;Aschersleben-Sta�furt, Landkreis;-;-;-;-;-;-
15355;B�rdekreis;-;-;-;-;-;-
15357;Halberstadt, Landkreis;-;-;-;-;-;-
15358;Jerichower Land, Landkreis;-;-;-;-;-;-
15362;Ohrekreis;-;-;-;-;-;-
15363;Stendal, Landkreis;-;-;-;-;-;-
